Validation_Set,Topics,Alpha,Beta,Coherence
75% Corpus,2,0.01,0.01,0.3922520477355559
75% Corpus,2,0.01,0.31,0.3871858987358525
75% Corpus,2,0.01,0.61,0.3964016940114444
75% Corpus,2,0.01,0.9099999999999999,0.3964016940114444
75% Corpus,2,0.01,symmetric,0.3777408730627193
75% Corpus,2,0.31,0.01,0.4023564262143954
75% Corpus,2,0.31,0.31,0.38431284903168106
75% Corpus,2,0.31,0.61,0.41280794235954077
75% Corpus,2,0.31,0.9099999999999999,0.41280794235954077
75% Corpus,2,0.31,symmetric,0.39640169401144454
75% Corpus,2,0.61,0.01,0.40235642621439544
75% Corpus,2,0.61,0.31,0.41280794235954077
75% Corpus,2,0.61,0.61,0.41280794235954077
75% Corpus,2,0.61,0.9099999999999999,0.4128079423595407
75% Corpus,2,0.61,symmetric,0.41280794235954077
75% Corpus,2,0.9099999999999999,0.01,0.40235642621439544
75% Corpus,2,0.9099999999999999,0.31,0.4128079423595407
75% Corpus,2,0.9099999999999999,0.61,0.40362978871247035
75% Corpus,2,0.9099999999999999,0.9099999999999999,0.40362978871247035
75% Corpus,2,0.9099999999999999,symmetric,0.40362978871247035
75% Corpus,2,symmetric,0.01,0.40235642621439544
75% Corpus,2,symmetric,0.31,0.4128079423595408
75% Corpus,2,symmetric,0.61,0.4128079423595407
75% Corpus,2,symmetric,0.9099999999999999,0.4128079423595407
75% Corpus,2,symmetric,symmetric,0.39366427629301215
75% Corpus,2,asymmetric,0.01,0.39414262924627474
75% Corpus,2,asymmetric,0.31,0.41242890960995454
75% Corpus,2,asymmetric,0.61,0.40362978871247046
75% Corpus,2,asymmetric,0.9099999999999999,0.40362978871247046
75% Corpus,2,asymmetric,symmetric,0.40362978871247046
75% Corpus,3,0.01,0.01,0.39798113470265006
75% Corpus,3,0.01,0.31,0.3761849563811273
75% Corpus,3,0.01,0.61,0.3690240681420241
75% Corpus,3,0.01,0.9099999999999999,0.37735969374579087
75% Corpus,3,0.01,symmetric,0.3788243913941241
75% Corpus,3,0.31,0.01,0.4002895090751773
75% Corpus,3,0.31,0.31,0.3761849563811273
75% Corpus,3,0.31,0.61,0.38296405971147585
75% Corpus,3,0.31,0.9099999999999999,0.37840131157194196
75% Corpus,3,0.31,symmetric,0.3761849563811273
75% Corpus,3,0.61,0.01,0.4065914493028841
75% Corpus,3,0.61,0.31,0.4082331625777155
75% Corpus,3,0.61,0.61,0.38284658147287215
75% Corpus,3,0.61,0.9099999999999999,0.3825703727123644
75% Corpus,3,0.61,symmetric,0.4023956798361931
75% Corpus,3,0.9099999999999999,0.01,0.41137368380359524
75% Corpus,3,0.9099999999999999,0.31,0.400093975228268
75% Corpus,3,0.9099999999999999,0.61,0.4042685893139619
75% Corpus,3,0.9099999999999999,0.9099999999999999,0.386808683512525
75% Corpus,3,0.9099999999999999,symmetric,0.400093975228268
75% Corpus,3,symmetric,0.01,0.402444291614591
75% Corpus,3,symmetric,0.31,0.3761849563811273
75% Corpus,3,symmetric,0.61,0.38296405971147585
75% Corpus,3,symmetric,0.9099999999999999,0.3760920103123346
75% Corpus,3,symmetric,symmetric,0.3761849563811273
75% Corpus,3,asymmetric,0.01,0.40146867569920675
75% Corpus,3,asymmetric,0.31,0.3677598649508523
75% Corpus,3,asymmetric,0.61,0.37256808481266707
75% Corpus,3,asymmetric,0.9099999999999999,0.38302873580288216
75% Corpus,3,asymmetric,symmetric,0.3718292841617621
75% Corpus,4,0.01,0.01,0.396172337418006
75% Corpus,4,0.01,0.31,0.3796015593842841
75% Corpus,4,0.01,0.61,0.3912682850274114
75% Corpus,4,0.01,0.9099999999999999,0.4032635716198022
75% Corpus,4,0.01,symmetric,0.3827006181821865
75% Corpus,4,0.31,0.01,0.3872290611194683
75% Corpus,4,0.31,0.31,0.38847382662615865
75% Corpus,4,0.31,0.61,0.39153108581024876
75% Corpus,4,0.31,0.9099999999999999,0.4052982968212038
75% Corpus,4,0.31,symmetric,0.38847382662615865
75% Corpus,4,0.61,0.01,0.4174032579055278
75% Corpus,4,0.61,0.31,0.392962026984258
75% Corpus,4,0.61,0.61,0.39284597369277396
75% Corpus,4,0.61,0.9099999999999999,0.39319363499844795
75% Corpus,4,0.61,symmetric,0.39296202698425803
75% Corpus,4,0.9099999999999999,0.01,0.42039257187322143
75% Corpus,4,0.9099999999999999,0.31,0.40618644084133804
75% Corpus,4,0.9099999999999999,0.61,0.4055085726909283
75% Corpus,4,0.9099999999999999,0.9099999999999999,0.40497379829832386
75% Corpus,4,0.9099999999999999,symmetric,0.4098383523562403
75% Corpus,4,symmetric,0.01,0.39803141114645585
75% Corpus,4,symmetric,0.31,0.38683152003244164
75% Corpus,4,symmetric,0.61,0.3879185738753942
75% Corpus,4,symmetric,0.9099999999999999,0.4004671182063931
75% Corpus,4,symmetric,symmetric,0.38683152003244164
75% Corpus,4,asymmetric,0.01,0.3957892881498929
75% Corpus,4,asymmetric,0.31,0.39284597369277396
75% Corpus,4,asymmetric,0.61,0.40605817927811
75% Corpus,4,asymmetric,0.9099999999999999,0.4009251597781801
75% Corpus,4,asymmetric,symmetric,0.39284597369277396
75% Corpus,5,0.01,0.01,0.42991017448641955
75% Corpus,5,0.01,0.31,0.4245449624485995
75% Corpus,5,0.01,0.61,0.39418611241605545
75% Corpus,5,0.01,0.9099999999999999,0.37162783968719837
75% Corpus,5,0.01,symmetric,0.4160407239808398
75% Corpus,5,0.31,0.01,0.43708755745287087
75% Corpus,5,0.31,0.31,0.42284928074766476
75% Corpus,5,0.31,0.61,0.42197152641572194
75% Corpus,5,0.31,0.9099999999999999,0.37184471794343815
75% Corpus,5,0.31,symmetric,0.42598819668753085
75% Corpus,5,0.61,0.01,0.44099302605157725
75% Corpus,5,0.61,0.31,0.4320823918352633
75% Corpus,5,0.61,0.61,0.42442737491834215
75% Corpus,5,0.61,0.9099999999999999,0.42242786563650975
75% Corpus,5,0.61,symmetric,0.4321037496487006
75% Corpus,5,0.9099999999999999,0.01,0.4390992693234138
75% Corpus,5,0.9099999999999999,0.31,0.4354496220204592
75% Corpus,5,0.9099999999999999,0.61,0.43910084105578806
75% Corpus,5,0.9099999999999999,0.9099999999999999,0.416078065682278
75% Corpus,5,0.9099999999999999,symmetric,0.43313302332922854
75% Corpus,5,symmetric,0.01,0.43716280177135464
75% Corpus,5,symmetric,0.31,0.42284928074766476
75% Corpus,5,symmetric,0.61,0.42383710033822386
75% Corpus,5,symmetric,0.9099999999999999,0.37926880070703517
75% Corpus,5,symmetric,symmetric,0.4276268985814057
75% Corpus,5,asymmetric,0.01,0.4403521847184916
75% Corpus,5,asymmetric,0.31,0.3897207962788615
75% Corpus,5,asymmetric,0.61,0.40876736511793366
75% Corpus,5,asymmetric,0.9099999999999999,0.4188972050757324
75% Corpus,5,asymmetric,symmetric,0.4085644417973417
75% Corpus,6,0.01,0.01,0.4432250047545582
75% Corpus,6,0.01,0.31,0.40609898854046733
75% Corpus,6,0.01,0.61,0.4285204982326199
75% Corpus,6,0.01,0.9099999999999999,0.43217132530583147
75% Corpus,6,0.01,symmetric,0.41004997613139516
75% Corpus,6,0.31,0.01,0.437317072595538
75% Corpus,6,0.31,0.31,0.394108964957039
75% Corpus,6,0.31,0.61,0.4224824419230185
75% Corpus,6,0.31,0.9099999999999999,0.4576195335231176
75% Corpus,6,0.31,symmetric,0.4152508704924757
75% Corpus,6,0.61,0.01,0.45519140403856606
75% Corpus,6,0.61,0.31,0.4258688516012537
75% Corpus,6,0.61,0.61,0.4119238225957453
75% Corpus,6,0.61,0.9099999999999999,0.4736008360527713
75% Corpus,6,0.61,symmetric,0.4289637637080262
75% Corpus,6,0.9099999999999999,0.01,0.45014331388309364
75% Corpus,6,0.9099999999999999,0.31,0.4339154038469634
75% Corpus,6,0.9099999999999999,0.61,0.44157929128170254
75% Corpus,6,0.9099999999999999,0.9099999999999999,0.4387463515069597
75% Corpus,6,0.9099999999999999,symmetric,0.44059565085798597
75% Corpus,6,symmetric,0.01,0.43433710923944835
75% Corpus,6,symmetric,0.31,0.391382959909424
75% Corpus,6,symmetric,0.61,0.4314718260860972
75% Corpus,6,symmetric,0.9099999999999999,0.4603793317689764
75% Corpus,6,symmetric,symmetric,0.41102634009299793
75% Corpus,6,asymmetric,0.01,0.4392317531550585
75% Corpus,6,asymmetric,0.31,0.45450366618111304
75% Corpus,6,asymmetric,0.61,0.4162768274768725
75% Corpus,6,asymmetric,0.9099999999999999,0.47149145901771194
75% Corpus,6,asymmetric,symmetric,0.40652503900660775
75% Corpus,7,0.01,0.01,0.4227223918964601
