,sentence,catalyst
0,The photocurrent (It) and electrochemical impedance spectroscopy (EIS) experiments were implemented on a CHI-660E electrochemical workstation (CHI instruments) with a standard three–electrode cell to investigate the charge separation and the transfer resistance of the pure CdS and the Pt/CdS composite photocatalysts.,Pt
1,The photocurrent (It) and electrochemical impedance spectroscopy (EIS) experiments were implemented on a CHI-660E electrochemical workstation (CHI instruments) with a standard three–electrode cell to investigate the charge separation and the transfer resistance of the pure CdS and the Pt/CdS composite photocatalysts.,CdS
2,The photocurrent (It) and electrochemical impedance spectroscopy (EIS) experiments were implemented on a CHI-660E electrochemical workstation (CHI instruments) with a standard three–electrode cell to investigate the charge separation and the transfer resistance of the pure CdS and the Pt/CdS composite photocatalysts.,CdS
3,Catalytic performance in a two bed arrangement (Cu/CeO2 on the top bed and Au/CeO2 in the bed below) was examined where each bed was separated by layer (15 mm) of glass wool; catalyst activation followed the procedure described above.,Au
4,Catalytic performance in a two bed arrangement (Cu/CeO2 on the top bed and Au/CeO2 in the bed below) was examined where each bed was separated by layer (15 mm) of glass wool; catalyst activation followed the procedure described above.,CeO2
5,Catalytic performance in a two bed arrangement (Cu/CeO2 on the top bed and Au/CeO2 in the bed below) was examined where each bed was separated by layer (15 mm) of glass wool; catalyst activation followed the procedure described above.,Cu
6,Catalytic performance in a two bed arrangement (Cu/CeO2 on the top bed and Au/CeO2 in the bed below) was examined where each bed was separated by layer (15 mm) of glass wool; catalyst activation followed the procedure described above.,CeO2
7,"ratio of inlet gas flow rate (organic(s)+N2 or H2) to catalyst bed volume) = 3 × 103 h-1 and molar Cu (or Au, n) to reactant feed rate (n/F) = 2 × 10-4 – 4 × 10-4 h. Stand-alone hydrogenation was carried out in a co-current flow of H2 (20 cm3 min-1) with furfural maintained at GHSV = 3 × 103 h-1 with n/F = 1 × 10-3 h, where the H2 content was 90 times in excess to the stoichiometric requirement for furfuryl alcohol production.",Cu
8,"ratio of inlet gas flow rate (organic(s)+N2 or H2) to catalyst bed volume) = 3 × 103 h-1 and molar Cu (or Au, n) to reactant feed rate (n/F) = 2 × 10-4 – 4 × 10-4 h. Stand-alone hydrogenation was carried out in a co-current flow of H2 (20 cm3 min-1) with furfural maintained at GHSV = 3 × 103 h-1 with n/F = 1 × 10-3 h, where the H2 content was 90 times in excess to the stoichiometric requirement for furfuryl alcohol production.",Au
9,The photoelectrochemical properties of photocatalysts are measured on a CHI660E electrochemical workstation with a standard three-electrode system having Ag/AgCl electrode as the reference electrode and Pt wire as the counter electrode.,Pt
10,The photoelectrochemical properties of photocatalysts are measured on a CHI660E electrochemical workstation with a standard three-electrode system having Ag/AgCl electrode as the reference electrode and Pt wire as the counter electrode.,Ag
11,The photoelectrochemical properties of photocatalysts are measured on a CHI660E electrochemical workstation with a standard three-electrode system having Ag/AgCl electrode as the reference electrode and Pt wire as the counter electrode.,AgCl
12,"1 wt.% Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt.% CuO/TiO2 photocatalyst under a H2/N2 flow (10 vol.% H2, 100 mL min−1) at 200−500 °C for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue.",Cu
13,"1 wt.% Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt.% CuO/TiO2 photocatalyst under a H2/N2 flow (10 vol.% H2, 100 mL min−1) at 200−500 °C for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue.",CuO
14,"1 wt.% Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt.% CuO/TiO2 photocatalyst under a H2/N2 flow (10 vol.% H2, 100 mL min−1) at 200−500 °C for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue.",TiO2
15,"1 wt.% Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt.% CuO/TiO2 photocatalyst under a H2/N2 flow (10 vol.% H2, 100 mL min−1) at 200−500 °C for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue.",CuO
16,"1 wt.% Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt.% CuO/TiO2 photocatalyst under a H2/N2 flow (10 vol.% H2, 100 mL min−1) at 200−500 °C for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue.",TiO2
17,In-situ UV–vis absorbance spectra for the reoxidation of Cu/TiO2 photocatalysts were collected on the same spectrometer-integrating sphere system.,TiO2
18,In-situ UV–vis absorbance spectra for the reoxidation of Cu/TiO2 photocatalysts were collected on the same spectrometer-integrating sphere system.,Cu
19,"The 1 wt.% Cu/TiO2 photocatalysts slowly re-oxidized to with exposure to air under ambient conditions, with in-situ UV–vis spectra being collected as a function of time.",Cu
20,"The 1 wt.% Cu/TiO2 photocatalysts slowly re-oxidized to with exposure to air under ambient conditions, with in-situ UV–vis spectra being collected as a function of time.",TiO2
21,High resolution transmission electron microscopy (HRTEM) images for the 1.25 wt.% CuO/TiO2 and 1 wt.% Cu/TiO2 photocatalysts were collected on a JEOL 2200FS transmission electron microscope equipped with a Field Emission Gun and a High Resolution (HR) lens system.,CuO
22,High resolution transmission electron microscopy (HRTEM) images for the 1.25 wt.% CuO/TiO2 and 1 wt.% Cu/TiO2 photocatalysts were collected on a JEOL 2200FS transmission electron microscope equipped with a Field Emission Gun and a High Resolution (HR) lens system.,TiO2
23,High resolution transmission electron microscopy (HRTEM) images for the 1.25 wt.% CuO/TiO2 and 1 wt.% Cu/TiO2 photocatalysts were collected on a JEOL 2200FS transmission electron microscope equipped with a Field Emission Gun and a High Resolution (HR) lens system.,TiO2
24,High resolution transmission electron microscopy (HRTEM) images for the 1.25 wt.% CuO/TiO2 and 1 wt.% Cu/TiO2 photocatalysts were collected on a JEOL 2200FS transmission electron microscope equipped with a Field Emission Gun and a High Resolution (HR) lens system.,Cu
25,In-situ XAFS analyses on Cu K-edge were carried out on the 1.25 wt.% CuO/TiO2 photocatalyst with heating in a H2:He gas flow (1 vol.% H2) to study CuO reduction.,CuO
26,In-situ XAFS analyses on Cu K-edge were carried out on the 1.25 wt.% CuO/TiO2 photocatalyst with heating in a H2:He gas flow (1 vol.% H2) to study CuO reduction.,Cu
27,In-situ XAFS analyses on Cu K-edge were carried out on the 1.25 wt.% CuO/TiO2 photocatalyst with heating in a H2:He gas flow (1 vol.% H2) to study CuO reduction.,TiO2
28,In-situ XAFS analyses on Cu K-edge were carried out on the 1.25 wt.% CuO/TiO2 photocatalyst with heating in a H2:He gas flow (1 vol.% H2) to study CuO reduction.,CuO
29,"The FeNa catalyst was obtained via same method as FeNaS, expect for using Fe(NO3)3·9H2O as iron source and HNO3 as substitute for H2SO4.",H2SO4
30,"The FeNa catalyst was obtained via same method as FeNaS, expect for using Fe(NO3)3·9H2O as iron source and HNO3 as substitute for H2SO4.",iron
31,Potassium was incorporated into the catalyst by physical mixing of the amorphous molybdenum sulfide precursor with K2CO3 (Sigma-Aldrich) in a mortar with a pestle followed by treatment at 500 °C in hydrogen atmosphere for 3 h with a heating rate of 5 °C/min.,Potassium
32,Potassium was incorporated into the catalyst by physical mixing of the amorphous molybdenum sulfide precursor with K2CO3 (Sigma-Aldrich) in a mortar with a pestle followed by treatment at 500 °C in hydrogen atmosphere for 3 h with a heating rate of 5 °C/min.,K2CO3
33,"(3) TOF ( h - 1 ) = F × Y C 2 + O H m catal × Mo edge where F means the feeding rate of CO flow (mol h−1), mcatal represents the mass of the catalyst (g), Y C 2 + O H is HA yield, and Moedge is edge-Mo amount, which can be obtained by the following equation: (4) Mo edge = M o c o n t e n t o f s a m p l e m o l × s u l f i d a t i o n d e g r e e o f M o × f m where sulfidation degree of Mo was calculated by XPS characterization.",Mo
34,"(3) TOF ( h - 1 ) = F × Y C 2 + O H m catal × Mo edge where F means the feeding rate of CO flow (mol h−1), mcatal represents the mass of the catalyst (g), Y C 2 + O H is HA yield, and Moedge is edge-Mo amount, which can be obtained by the following equation: (4) Mo edge = M o c o n t e n t o f s a m p l e m o l × s u l f i d a t i o n d e g r e e o f M o × f m where sulfidation degree of Mo was calculated by XPS characterization.",Mo
35,"(3) TOF ( h - 1 ) = F × Y C 2 + O H m catal × Mo edge where F means the feeding rate of CO flow (mol h−1), mcatal represents the mass of the catalyst (g), Y C 2 + O H is HA yield, and Moedge is edge-Mo amount, which can be obtained by the following equation: (4) Mo edge = M o c o n t e n t o f s a m p l e m o l × s u l f i d a t i o n d e g r e e o f M o × f m where sulfidation degree of Mo was calculated by XPS characterization.",Mo
36,"Copper nitrate trihydrate salt (Aldrich, Germany) was used as a copper source in all the catalysts.",copper
37,Commercial CuCrO3 catalyst was also used for hydrogenation of FAL and designated by the code of CCr.,CuCrO3
38,"Prior to every reaction, all Cu-based catalysts were reduced at 300 °C for 2 h. The reaction solution of FAL of desired concentration was freshly prepared in HPLC grade water, and catalytic hydrogenation of this solution was performed with continuous stirring at 700 RPM.",Cu
39,"profile curve fitting (software = CasaXPS 2.3.17) serves to quantify the amount of hydrogen consumed during each transition step (α = Cu2+ → Cu+, β = Cu+ → Cu0, γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl; Cl* indicates adsorbed chlorine on the catalyst surface) and extract the concentration of copper species (denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ), Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ).",copper
40,"profile curve fitting (software = CasaXPS 2.3.17) serves to quantify the amount of hydrogen consumed during each transition step (α = Cu2+ → Cu+, β = Cu+ → Cu0, γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl; Cl* indicates adsorbed chlorine on the catalyst surface) and extract the concentration of copper species (denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ), Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ).",chlorine
41,"profile curve fitting (software = CasaXPS 2.3.17) serves to quantify the amount of hydrogen consumed during each transition step (α = Cu2+ → Cu+, β = Cu+ → Cu0, γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl; Cl* indicates adsorbed chlorine on the catalyst surface) and extract the concentration of copper species (denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ), Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ).",chlorine
42,"profile curve fitting (software = CasaXPS 2.3.17) serves to quantify the amount of hydrogen consumed during each transition step (α = Cu2+ → Cu+, β = Cu+ → Cu0, γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl; Cl* indicates adsorbed chlorine on the catalyst surface) and extract the concentration of copper species (denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ), Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ).",Cu
43,"profile curve fitting (software = CasaXPS 2.3.17) serves to quantify the amount of hydrogen consumed during each transition step (α = Cu2+ → Cu+, β = Cu+ → Cu0, γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl; Cl* indicates adsorbed chlorine on the catalyst surface) and extract the concentration of copper species (denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ), Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ).",Cu0
44,"profile curve fitting (software = CasaXPS 2.3.17) serves to quantify the amount of hydrogen consumed during each transition step (α = Cu2+ → Cu+, β = Cu+ → Cu0, γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl; Cl* indicates adsorbed chlorine on the catalyst surface) and extract the concentration of copper species (denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ), Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ).",Cl
45,"profile curve fitting (software = CasaXPS 2.3.17) serves to quantify the amount of hydrogen consumed during each transition step (α = Cu2+ → Cu+, β = Cu+ → Cu0, γ = Ce4+→ Ce3+ and δ = 2Cl*→ 2HCl; Cl* indicates adsorbed chlorine on the catalyst surface) and extract the concentration of copper species (denoted Cu TPR 2 + , Cu TPR + and Cu TPR 0 ), Ce3+ ( Ce TPR 3 + ) and adsorbed chlorine ( Cl TPR ∗ ).",Cu
46,The reaction temperature in the catalyst bed was monitored (continuously) with a thermocouple and kept constant (±1 K) by mixing the Cu/CeO2 catalyst (1–50 mg) with (75 µm) ground glass.,CeO2
47,The reaction temperature in the catalyst bed was monitored (continuously) with a thermocouple and kept constant (±1 K) by mixing the Cu/CeO2 catalyst (1–50 mg) with (75 µm) ground glass.,Cu
48,Structural information was obtained by X-ray diffraction (XRD); the XRD patterns of the catalysts were measured by an X-ray diffractometer (SIEMENS XRD D5000) in the range of 2θ from 20° to 80° using Cu Kα radiation with a Ni filter at 40 kV and 20 mA.,Ni
49,Structural information was obtained by X-ray diffraction (XRD); the XRD patterns of the catalysts were measured by an X-ray diffractometer (SIEMENS XRD D5000) in the range of 2θ from 20° to 80° using Cu Kα radiation with a Ni filter at 40 kV and 20 mA.,Cu
50,"The morphology and metal crystallite sizes of catalysts were assessed by transmission electron microscopy (TEM) using a JEOL JEM 2010 TEM operated at 200 kV and equipped with a LaB6 thermoionic electron gun, a high resolution pole-piece (UHR: 0.196 nm point resolution and 0.140 nm information limit) and an energy dispersive X-ray (EDX) spectrometer (Pentafet from Oxford Insts.)",LaB6
