,section name,frequency,,7738
2,Cu,482,,
4,Ni,450,,
5,Pt,424,,
8,Pd,317,,
10,TiO2,263,,
14,Al2O3,211,,
16,Au,175,,
17,Co,174,,
21,Ru,156,,
22,SiO2,153,,
25,Ag,139,,
27,nickel,125,,
28,copper,118,,
29,C,114,,
30,quartz,114,,
32,Ar,103,,
35,Fe,100,,
36,F,100,,
37,CeO2,100,,
40,ZnO,93,,
42,Al,88,,
44,oxide,83,,
55,ZrO2,69,,
57,Nafion,66,,
59,cobalt,62,,
62,CuO,57,,
63,argon,57,,
64,Mo2C,55,,
66,platinum,54,,
68,metal,50,,
69,alumina,49,,
70,nitrate,46,,
71,Mg,46,,
72,silica,45,,
74,Zn,44,,
79,Mo,40,,
83,Al2O3,38,,
84,AgCl,38,,
86,CdS,36,,
91,CaO,33,,
92,Rh,33,,
94,NaBH4,32,,
97,Sn,31,,
98,palladium,31,,
101,S,31,,
102,zeolite,30,,
104,PtRu,30,,
105,sodium,30,,
113,Zr,27,,
116,MgO,25,,
123,potassium,24,,
125,iron,24,,
126,helium,24,,
127,H2SO4,24,,
128,zirconia,23,,
129,NiO,23,,
133,Na2SO4,22,,
134,Si,22,,
137,Ce,21,,
138,molybdenum,21,,
140,tin,20,,
143,N2O,20,,
144,chloride,20,,
145,Teflon,20,,
146,titanium,20,,
147,PdC,20,,
148,Co3O4,20,,
151,H2TPD,19,,
152,Cr,19,,
155,La2O3,18,,
156,SrTiO3,18,,
157,graphite,18,,
159,borosilicate,18,,
160,crotonaldehyde,18,,
161,Cu2O,18,,
162,pyridine,18,,
163,Mn,17,,
167,NiCo5,16,,
168,P,16,,
169,K2CO3,16,,
172,Fe3O4,16,,
176,PdP,15,,
178,ruthenium,15,,
179,aluminum,15,,
184,MoS2,14,,
185,carbide,14,,
191,Ti,14,,
203,titania,13,,
219,SiC,12,,
222,sulfur,12,,
225,chromite,12,,
226,CuFe,11,,
227,rhodium,11,,
236,silver,11,,
239,Nb2O5,11,,
245,Na2CO3,10,,
248,Platinum,10,,
251,Er3,10,,
259,MnOx,10,,
260,Cl,10,,
264,H2PtCl6,10,,
265,silicon,10,,
268,ZnMn,9,,
273,NiLaAl2O3,9,,
279,Hg,9,,
282,Ta2O5,9,,
286,alumina,9,,
291,MoO3,8,,
293,NiNO326H2O,8,,
297,PdO,8,,
303,RuCl3,8,,
305,ZnSe,8,,
309,calcium,8,,
310,Na2SO3,8,,
312,titanate,7,,
314,chlorine,7,,
315,CuCo,7,,
317,K,7,,
318,CMo,7,,
319,RuCl3xH2O,7,,
320,fluorine,7,,
322,aluminium,7,,
