,sentence,process,catalyst
0,"ratio of inlet gas flow rate ( organic ( s ) +N2 or H2 ) to catalyst bed volume ) = 3 × 103 h-1 and molar Cu ( or Au , n ) to reactant feed rate ( n/F ) = 2 × 10-4 – 4 × 10-4 h. Stand-alone hydrogenation was carried out in a co-current flow of H2 ( 20 cm3 min-1 ) with furfural maintained at GHSV = 3 × 103 h-1 with n/F = 1 × 10-3 h , where the H2 content was 90 times in excess to the stoichiometric requirement for furfuryl alcohol production .",volume,Cu
1,"ratio of inlet gas flow rate ( organic ( s ) +N2 or H2 ) to catalyst bed volume ) = 3 × 103 h-1 and molar Cu ( or Au , n ) to reactant feed rate ( n/F ) = 2 × 10-4 – 4 × 10-4 h. Stand-alone hydrogenation was carried out in a co-current flow of H2 ( 20 cm3 min-1 ) with furfural maintained at GHSV = 3 × 103 h-1 with n/F = 1 × 10-3 h , where the H2 content was 90 times in excess to the stoichiometric requirement for furfuryl alcohol production .",volume,Au
2,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",atm,CuO
3,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",atm,TiO2
4,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",atm,TiO2
5,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",atm,CuO
6,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",atm,Cu
7,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",celcius,CuO
8,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",celcius,TiO2
9,"1 wt. % Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt. % CuO/TiO2 photocatalyst under a H2/N2 flow ( 10 vol. % H2 , 100 mL min−1 ) at 200−500 celcius for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue .",celcius,TiO2
