Title,Pub_name,DOI,Link
Hydrogen and alcohols production by <ce:italic>Serratia</ce:italic> sp<ce:italic>.</ce:italic> from an inorganic carbon source,Journal of CO2 Utilization,10.1016/j.jcou.2022.101914,https://api.elsevier.com/content/article/doi/10.1016/j.jcou.2022.101914?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Photocatalytic hydrogen production from alcohol aqueous solutions over TiO<ce:inf loc=post>2</ce:inf>-activated carbon composites decorated with Au and Pt,Journal of Photochemistry and Photobiology A: Chemistry,10.1016/j.jphotochem.2021.113726,https://api.elsevier.com/content/article/doi/10.1016/j.jphotochem.2021.113726?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
"Homogeneous first-row transition metal catalyst for sustainable hydrogen production and organic transformation from methanol, formic acid, and bio-alcohols",Tetrahedron,10.1016/j.tet.2021.132473,https://api.elsevier.com/content/article/doi/10.1016/j.tet.2021.132473?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective photoelectrocatalytic tuning of benzyl alcohol to benzaldehyde for enhanced hydrogen production,Applied Catalysis B: Environmental,10.1016/j.apcatb.2020.119868,https://api.elsevier.com/content/article/doi/10.1016/j.apcatb.2020.119868?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Light alcohols reforming towards renewable hydrogen production on multicomponent catalysts,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2020.110523,https://api.elsevier.com/content/article/doi/10.1016/j.rser.2020.110523?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Minimized Pt deposition on CdS simultaneously maximizes the performance of hydrogen production and aromatic alcohols oxidation,Applied Surface Science,10.1016/j.apsusc.2021.150446,https://api.elsevier.com/content/article/doi/10.1016/j.apsusc.2021.150446?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Boosting photocatalytic hydrogen production coupled with benzyl alcohol oxidation over CdS/metal–organic framework composites,Chemical Engineering Journal,10.1016/j.cej.2021.129870,https://api.elsevier.com/content/article/doi/10.1016/j.cej.2021.129870?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
8: Production of γ-valerolactone and furfuryl alcohol via catalytic transfer hydrogenation,Advanced Catalysis for Drop-in Chemicals,10.1016/B978-0-12-823827-1.00001-8,https://api.elsevier.com/content/article/doi/10.1016/B978-0-12-823827-1.00001-8?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Continuous furfuryl alcohol production <ce:italic>via</ce:italic> coupled dehydrogenation-hydrogenation over supported Cu and Au catalysts: A consideration of hydrogen generation and transfer,Molecular Catalysis,10.1016/j.mcat.2020.110912,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2020.110912?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Modulating oxygen vacancies on bismuth-molybdate hierarchical hollow microspheres for photocatalytic selective alcohol oxidation with hydrogen peroxide production,Journal of Colloid and Interface Science,10.1016/j.jcis.2021.02.036,https://api.elsevier.com/content/article/doi/10.1016/j.jcis.2021.02.036?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
CdS(ZB)/CdS(WZ)/Ni-BTC photocatalytic selective oxidation of benzyl alcohol to benzaldehyde coupled with hydrogen evolution,Applied Surface Science,10.1016/j.apsusc.2021.151284,https://api.elsevier.com/content/article/doi/10.1016/j.apsusc.2021.151284?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Electrochemical reactor for sustainable transformation of bio-mass derived allyl alcohol into acrylate and pure hydrogen,Inorganica Chimica Acta,10.1016/j.ica.2021.120488,https://api.elsevier.com/content/article/doi/10.1016/j.ica.2021.120488?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Quinone shuttling impels selective electrocatalytic alcohol oxidation: A hydrogen bonding-directed electrosynthesis,Journal of Electroanalytical Chemistry,10.1016/j.jelechem.2021.115820,https://api.elsevier.com/content/article/doi/10.1016/j.jelechem.2021.115820?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Effect of alcohol sacrificial agent on the performance of Cu/TiO<ce:inf loc=post>2</ce:inf> photocatalysts for UV-driven hydrogen production,Applied Catalysis A: General,10.1016/j.apcata.2020.117703,https://api.elsevier.com/content/article/doi/10.1016/j.apcata.2020.117703?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen production in two-chamber MEC using a low-cost and biodegradable poly(vinyl) alcohol/chitosan membrane,Bioresource Technology,10.1016/j.biortech.2020.124168,https://api.elsevier.com/content/article/doi/10.1016/j.biortech.2020.124168?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Effects of various alcohol sacrificial agents on hydrogen evolution based on CoS<ce:inf loc=post>2</ce:inf>@SCN nanomaterials and its mechanism,Chemosphere,10.1016/j.chemosphere.2021.131558,https://api.elsevier.com/content/article/doi/10.1016/j.chemosphere.2021.131558?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Kinetic study of the effects of pH on the photocatalytic hydrogen production from alcohols,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2019.10.114,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2019.10.114?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Engineering 2D NiO/Ni<ce:inf loc=post>3</ce:inf>S<ce:inf loc=post>2</ce:inf> heterointerface electrocatalyst for highly efficient hydrogen production coupled with benzyl alcohol oxidation,Chemical Engineering Journal,10.1016/j.cej.2021.134137,https://api.elsevier.com/content/article/doi/10.1016/j.cej.2021.134137?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
New strategy for production of primary alcohols from aliphatic olefins by tandem cross-metathesis/hydrogenation,Chinese Chemical Letters,10.1016/j.cclet.2019.10.001,https://api.elsevier.com/content/article/doi/10.1016/j.cclet.2019.10.001?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Direct production of hydrogen-rich gas and/or pure-hydrogen with high-pressure from alcohol/water/metal-powder mixture at low processing temperature,International Journal of Hydrogen Energy,10.1016/j.ijhydene.2019.11.166,https://api.elsevier.com/content/article/doi/10.1016/j.ijhydene.2019.11.166?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrophobically modified Pd membrane for the efficient purification of hydrogen in light alcohols steam reforming process,Journal of Membrane Science,10.1016/j.memsci.2022.120326,https://api.elsevier.com/content/article/doi/10.1016/j.memsci.2022.120326?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Hydrogen and chemicals from alcohols through electrochemical reforming by Pd-CeO<ce:inf loc=post>2</ce:inf>/C electrocatalyst,Inorganica Chimica Acta,10.1016/j.ica.2021.120245,https://api.elsevier.com/content/article/doi/10.1016/j.ica.2021.120245?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Micro-/mesopores confined ultrasmall Cu nanoparticles in SBA-15 as a highly efficient and robust catalyst for furfural hydrogenation to furfuryl alcohol,Applied Catalysis A: General,10.1016/j.apcata.2022.118527,https://api.elsevier.com/content/article/doi/10.1016/j.apcata.2022.118527?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Surfactant-assisted preparation of Mo-Co-K sulfide catalysts for the synthesis of low-carbon alcohols <ce:italic>via</ce:italic> CO<ce:inf loc=post>2</ce:inf> hydrogenation,Chemical Engineering Journal Advances,10.1016/j.ceja.2022.100256,https://api.elsevier.com/content/article/doi/10.1016/j.ceja.2022.100256?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Photocatalytic conversion of alcohols to hydrogen and carbon-containing products: A cleaner alcohol valorization approach,Journal of Cleaner Production,10.1016/j.jclepro.2021.128546,https://api.elsevier.com/content/article/doi/10.1016/j.jclepro.2021.128546?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Engineering carbon nitride with cyanide groups for efficient photocatalytic alcohol oxidation and H<ce:inf loc=post>2</ce:inf>O<ce:inf loc=post>2</ce:inf> production-Utilization of photogenerated electrons and holes,Applied Surface Science,10.1016/j.apsusc.2021.151506,https://api.elsevier.com/content/article/doi/10.1016/j.apsusc.2021.151506?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Supported ruthenium catalysts for the aqueous-phase selective hydrogenation of furfural to furfuryl alcohol,Catalysis Today,10.1016/j.cattod.2021.12.011,https://api.elsevier.com/content/article/doi/10.1016/j.cattod.2021.12.011?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Selective production of alkanes and fatty alcohol via hydrodeoxygenation of palmitic acid over red mud-supported nickel catalysts,Fuel,10.1016/j.fuel.2021.122780,https://api.elsevier.com/content/article/doi/10.1016/j.fuel.2021.122780?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Highly efficient and selective photocatalytic dehydrogenation of benzyl alcohol for simultaneous hydrogen and benzaldehyde production over Ni-decorated Zn<ce:inf loc=post>0.5</ce:inf>Cd<ce:inf loc=post>0.5</ce:inf>S solid solution,Journal of Energy Chemistry,10.1016/j.jechem.2018.03.014,https://api.elsevier.com/content/article/doi/10.1016/j.jechem.2018.03.014?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Monometallic iron catalysts with synergistic Na and S for higher alcohols synthesis via CO<ce:inf loc=post>2</ce:inf> hydrogenation,Applied Catalysis B: Environmental,10.1016/j.apcatb.2021.120556,https://api.elsevier.com/content/article/doi/10.1016/j.apcatb.2021.120556?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
Bimetallic Cu-Ni/MCM-41 catalyst for efficiently selective transfer hydrogenation of furfural into furfural alcohol,Molecular Catalysis,10.1016/j.mcat.2021.112065,https://api.elsevier.com/content/article/doi/10.1016/j.mcat.2021.112065?apiKey=2dc442325fc67f2f275ec3157ef8df65&insttoken=6beb1f6c29d85f50029bf11c8de94d1b
