,sentence,label
0,"After thoroughly washing as-obtained electrode with deionized water and ethanol, it was dried at 70 °C for 4 h. Such an electrode was named as a Bi2MoO6@TiO2 photocathode in this work.",0
1,"36 mL deionized water was first added into a clean 100 mL three-necked round-bottom flask and heated to boiling, followed by the addition of 27 μL of 0.4 M aqueous solution H2PtCl6 and 880 μL mixed aqueous containing 0.05% citric acid and 1.0% sodium citrate.",0
2,"After 10 min, the colloid solution of 3–4 nm Pt nanoparticles was obtained and cooled to room temperature.",0
3,"The composition of the standard cell is as follows: the thin 5 mm × 5 mm Pt/CdS films prepared on FTO by drop coating and drying method is the working electrode, an Ag/AgCl electrode filled with 3 M KCl aqueous solution is the reference electrode, and a Pt wire is the counter electrode.",0
4,"The Mott-Schottky (M-S) analyses of Pt/CdS and pure CdS were implemented to evaluate the flat band positions (Vfb) of the as-prepared Pt/CdS samples, where 0.2 M Na2SO4 aqueous solution served as the electrolyte.",0
5,A water-cooling system was applied to keep reaction temperature at 5 °C.,0
7,"An aqueous solution of urea (100 fold excess) and HAuCl4 (6 × 10−4 M, 300 cm3; 99 %, Sigma-Aldrich) was added to the support (5 g) and the suspension stirred and heated to 353 K under reflux (2 K min-1).",0
10,"and heated in 17 cm3 min−1 (Brooks mass flow controlled) 5 % v/v H2/N2 at 2 K min−1 to 573 K, swept with 65 cm3 min−1 N2 for 1.5 h, cooled to 453 K and subjected to H2 chemisorption by pulse (10−20 μl) titration.",0
11,Isothermal conditions (±1 K) were maintained by diluting the catalyst with ground glass (75 μm).,0
12,Reaction temperature was continuously monitored by a thermocouple inserted in a thermowell within the catalyst bed.,0
13,"ratio of inlet gas flow rate (organic(s)+N2 or H2) to catalyst bed volume) = 3 × 103 h-1 and molar Cu (or Au, n) to reactant feed rate (n/F) = 2 × 10-4 – 4 × 10-4 h. Stand-alone hydrogenation was carried out in a co-current flow of H2 (20 cm3 min-1) with furfural maintained at GHSV = 3 × 103 h-1 with n/F = 1 × 10-3 h, where the H2 content was 90 times in excess to the stoichiometric requirement for furfuryl alcohol production.",0
14,"The reactor effluent was analysed by capillary GC (Perkin-Elmer Auto System XL gas chromatograph equipped with a programmed split/splitless injector and a flame ionisation detector, employing a DB-1 (50 m × 0.33 mm i.d., 0.20 μm film thickness) capillary column (J&W Scientific)).",0
15,"The surface OVs of BMO hierarchical hollow microspheres are enriched by thermal reduction in a mixed H2/Ar (5 vol% H2 and 95 vol% Ar) atmosphere at 200 °C, with a heating rate of 5 ℃ min−1, for a controlled time.",0
16,Na2SO4 aqueous solution (0.1 M) is used as the electrolyte.,0
17,were recorded on a VSP multichannel potentiostat (BioLogic Science Instruments) at room temperature with the prototypical three-electrode system.,0
18,P25 TiO2 (10 g) was then added to the solution containing the copper(II)-glycerol complex with continuous stirring.,0
19,"1 wt.% Cu/TiO2 photocatalysts were obtained by heating the 1.25 wt.% CuO/TiO2 photocatalyst under a H2/N2 flow (10 vol.% H2, 100 mL min−1) at 200−500 °C for 2 h. This treatment reduced the adsorbed CuO species to metallic form as evidenced by a change in colour of the powders from light blue-green to a very dark blue.",0
