URL,Title,Pub_Name,DOI
https://api.elsevier.com/content/article/pii/S2212982022000336,Hydrogen and alcohols production by <ce:italic>Serratia</ce:italic> sp<ce:italic>.</ce:italic> from an inorganic carbon source,Journal of CO2 Utilization,10.1016/j.jcou.2022.101914
https://api.elsevier.com/content/article/pii/S101060302100592X,Photocatalytic hydrogen production from alcohol aqueous solutions over TiO<ce:inf loc=post>2</ce:inf>-activated carbon composites decorated with Au and Pt,Journal of Photochemistry and Photobiology A: Chemistry,10.1016/j.jphotochem.2021.113726
https://api.elsevier.com/content/article/pii/S0040402021007523,"Homogeneous first-row transition metal catalyst for sustainable hydrogen production and organic transformation from methanol, formic acid, and bio-alcohols",Tetrahedron,10.1016/j.tet.2021.132473
https://api.elsevier.com/content/article/pii/S0926337320312856,Selective photoelectrocatalytic tuning of benzyl alcohol to benzaldehyde for enhanced hydrogen production,Applied Catalysis B: Environmental,10.1016/j.apcatb.2020.119868
https://api.elsevier.com/content/article/pii/S136403212030808X,Light alcohols reforming towards renewable hydrogen production on multicomponent catalysts,Renewable and Sustainable Energy Reviews,10.1016/j.rser.2020.110523
https://api.elsevier.com/content/article/pii/S016943322101518X,Minimized Pt deposition on CdS simultaneously maximizes the performance of hydrogen production and aromatic alcohols oxidation,Applied Surface Science,10.1016/j.apsusc.2021.150446
https://api.elsevier.com/content/article/pii/S1385894721014546,Boosting photocatalytic hydrogen production coupled with benzyl alcohol oxidation over CdS/metal–organic framework composites,Chemical Engineering Journal,10.1016/j.cej.2021.129870
https://api.elsevier.com/content/article/pii/B9780128238271000018,8: Production of γ-valerolactone and furfuryl alcohol via catalytic transfer hydrogenation,Advanced Catalysis for Drop-in Chemicals,10.1016/B978-0-12-823827-1.00001-8
https://api.elsevier.com/content/article/pii/S2468823120301668,Continuous furfuryl alcohol production <ce:italic>via</ce:italic> coupled dehydrogenation-hydrogenation over supported Cu and Au catalysts: A consideration of hydrogen generation and transfer,Molecular Catalysis,10.1016/j.mcat.2020.110912
https://api.elsevier.com/content/article/pii/S0021979721001697,Modulating oxygen vacancies on bismuth-molybdate hierarchical hollow microspheres for photocatalytic selective alcohol oxidation with hydrogen peroxide production,Journal of Colloid and Interface Science,10.1016/j.jcis.2021.02.036
